keys,min_train_confidence,max_qwen_explore_margin,changed_samples,macro_f1
last_action+open_file_count,0.75,0.15,3,0.7790930295461761
last_action+open_file_count,0.8,0.3,3,0.7790930295461761
second_last_action,0.55,1.0,276,0.7790926963358326
second_last_action,0.55,0.3,258,0.7790893795312493
last_action+step,0.6,0.05,17,0.7790851501455511
last2,0.85,0.05,1,0.7790726872013466
last2,0.85,0.1,1,0.7790726872013466
last2,0.6,0.1,78,0.7790708632540261
last2,0.45,0.1,228,0.7790697364797433
last_action+open_file_count,0.65,0.2,5,0.7790667315269112
last_action+open_file_count,0.65,0.15,5,0.7790667315269112
last_action+open_file_count,0.65,0.3,5,0.7790667315269112
last2,0.6,0.15,105,0.7790655905824728
second_last_action,0.65,0.1,131,0.7790648110459415
last2,0.6,0.05,44,0.779063138304665
last_action+open_file_count,0.55,0.3,83,0.7790573065091608
last_action+open_file_count,0.7,1.0,4,0.779054373860266
last_action+open_file_count,0.75,1.0,4,0.779054373860266
last_action+open_file_count,0.8,1.0,4,0.779054373860266
last_action+open_file_count,0.6,0.05,4,0.779054373860266
last_action+open_file_count,0.65,0.1,4,0.779054373860266
last_action+step,0.8,0.05,3,0.7790502189913592
last_action+step,0.85,0.05,3,0.7790502189913592
last_action+step,0.75,0.05,3,0.7790502189913592
last_action+step,0.75,0.1,4,0.7790485159928922
last_action+step,0.8,0.1,4,0.7790485159928922
last_action+step,0.85,0.1,4,0.7790485159928922
last_action+step,0.8,0.3,4,0.7790485159928922
last_action+step,0.8,0.2,4,0.7790485159928922
last_action+step,0.85,0.3,4,0.7790485159928922
last_action+step,0.85,0.2,4,0.7790485159928922
last_action+step,0.85,0.15,4,0.7790485159928922
last_action+step,0.75,0.15,4,0.7790485159928922
last_action+step,0.75,0.3,4,0.7790485159928922
last_action+step,0.75,0.2,4,0.7790485159928922
last_action+step,0.8,0.15,4,0.7790485159928922
last_action+open_file_count,0.6,0.15,6,0.779028077311925
second_last_action,0.6,0.15,179,0.7790228716898623
second_last_action,0.6,0.1,143,0.7790198106937175
last_action+open_file_count,0.6,0.1,5,0.7790157122694517
last_action+step,0.6,0.3,34,0.7790050816880686
last2,0.6,0.2,108,0.7790031941451703
last_action+step,0.7,1.0,20,0.7789960975445845
last_action+open_file_count,0.5,0.2,90,0.7789895470171392
last_action+open_file_count,0.6,0.2,7,0.7789894171691366
last_action+open_file_count,0.6,0.3,7,0.7789894171691366
last_action+step,0.55,0.3,98,0.7789754076531893
second_last_action,0.5,0.1,177,0.7789551129266883
second_last_action,0.45,0.1,177,0.7789551129266883
last_action+step,0.65,1.0,27,0.7789425895178569
last_action+step,0.75,1.0,7,0.778937694989464
last_action+step,0.8,1.0,7,0.778937694989464
last_action+step,0.85,1.0,7,0.778937694989464
last_action+open_file_count,0.5,0.05,47,0.7789252044185433
last_action+step,0.5,0.3,202,0.778922081492191
last_action+open_file_count,0.45,0.05,117,0.7788982030319771
last2,0.45,0.15,293,0.778888312846077
last2,0.55,0.05,53,0.7788769400051512
last_action+open_file_count,0.65,1.0,10,0.7788617651677855
last_action+open_file_count,0.45,0.1,201,0.7788515122676412
second_last_action,0.5,0.15,228,0.778833500502657
second_last_action,0.45,0.15,228,0.778833500502657
last_action+open_file_count,0.5,0.3,101,0.7787962440041708
last2,0.55,0.1,94,0.7787871704302974
last_action+step,0.45,0.3,254,0.7787836835228923
second_last_action,0.5,0.2,245,0.7787793484162814
second_last_action,0.45,0.2,245,0.7787793484162814
last2,0.55,0.15,126,0.7787609379840601
last_action+open_file_count,0.6,1.0,15,0.7787363829426243
second_last_action,0.5,1.0,289,0.7787213357546118
second_last_action,0.45,1.0,289,0.7787213357546118
last2,0.55,0.3,144,0.7787207763459817
last2,0.55,1.0,144,0.7787207763459817
last2,0.55,0.2,134,0.7787197723735686
second_last_action,0.5,0.3,271,0.7787183488541805
second_last_action,0.45,0.3,271,0.7787183488541805
last_action+open_file_count,0.45,0.15,251,0.778682119116129
last_action+step,0.6,1.0,44,0.7786535627687144
last2,0.45,0.2,323,0.7786339797557754
last2,0.45,0.3,363,0.7784598480794119
last_action+open_file_count,0.45,0.2,274,0.7784460066873571
last_action+open_file_count,0.45,0.3,305,0.7781680153817508
last2,0.45,1.0,389,0.7779393413702559
last_action+open_file_count,0.55,1.0,125,0.7776518438414709
last_action+step,0.55,1.0,136,0.7774969931880228
last_action+step,0.5,1.0,288,0.7756747685451896
last_action+open_file_count,0.5,1.0,225,0.7743010945736698
last_action+step,0.45,1.0,379,0.7739385693812183
last_action+open_file_count,0.45,1.0,540,0.7685894836047914
