level,samples,unique_keys,unique_key_ratio,repeated_groups,repeated_samples,repeated_sample_ratio,conflict_groups,conflict_samples,conflict_sample_ratio,unavoidable_errors,minimum_empirical_error_ratio,majority_oracle_accuracy,majority_oracle_macro_f1
raw_prompt,70000,63250,0.9035714285714286,3760,10510,0.15014285714285713,2221,5800,0.08285714285714285,2633,0.03761428571428571,0.9623857142857143,0.9554384143226707
normalized_template,70000,62653,0.8950428571428571,4209,11556,0.16508571428571428,2522,6485,0.09264285714285714,2956,0.04222857142857143,0.9577714285714286,0.9514739239973132
template_last_action,70000,67885,0.9697857142857143,1201,3316,0.04737142857142857,477,1017,0.014528571428571429,489,0.006985714285714286,0.9930142857142857,0.9913194347153654
template_action_context,70000,69720,0.996,247,527,0.007528571428571429,119,259,0.0037,123,0.001757142857142857,0.9982428571428571,0.997761301837616
normalized_full_state,70000,69997,0.9999571428571429,3,6,8.571428571428571e-05,0,0,0.0,0,0.0,1.0,1.0
exact_full_state,70000,70000,1.0,0,0,0.0,0,0,0.0,0,0.0,1.0,1.0
